Borough,Price
Barking and Dagenham,450.0
Barking and Dagenham,450.0
Barking and Dagenham,520.0
Barking and Dagenham,549.0
Barking and Dagenham,550.0
Barking and Dagenham,550.0
Barking and Dagenham,560.0
Barking and Dagenham,600.0
Barking and Dagenham,606.67
Barking and Dagenham,640.0
Barking and Dagenham,650.0
Barking and Dagenham,650.0
Barking and Dagenham,650.0
Barking and Dagenham,675.0
Barking and Dagenham,680.0
Barking and Dagenham,680.0
Barking and Dagenham,700.0
Barking and Dagenham,700.0
Barking and Dagenham,700.0
Barking and Dagenham,700.0
Barking and Dagenham,700.0
Barking and Dagenham,725.0
Barking and Dagenham,725.0
Barking and Dagenham,736.67
Barking and Dagenham,750.0
Barking and Dagenham,750.0
Barking and Dagenham,750.0
Barking and Dagenham,750.0
Barking and Dagenham,750.0
Barking and Dagenham,750.0
Barking and Dagenham,750.0
Barking and Dagenham,790.0
Barking and Dagenham,800.0
Barking and Dagenham,800.0
Barking and Dagenham,800.0
Barking and Dagenham,800.0
Barking and Dagenham,800.0
Barking and Dagenham,800.0
Barking and Dagenham,845.0
Barking and Dagenham,850.0
Barking and Dagenham,850.0
Barking and Dagenham,850.0
Barking and Dagenham,850.0
Barking and Dagenham,850.0
Barking and Dagenham,850.0
Barking and Dagenham,850.0
Barking and Dagenham,850.0
Barking and Dagenham,850.0
Barking and Dagenham,866.67
Barking and Dagenham,875.0
Barking and Dagenham,875.0
Barking and Dagenham,900.0
Barking and Dagenham,950.0
Barking and Dagenham,975.0
Barking and Dagenham,1399.0
Barking and Dagenham,1516.67
Barking and Dagenham,1600.0
Barnet,450.0
Barnet,600.0
Barnet,600.0
Barnet,700.0
Barnet,725.0
Barnet,750.0
Barnet,800.0
Barnet,850.0
Barnet,850.0
Barnet,850.0
Barnet,880.0
Barnet,900.0
Barnet,900.0
Barnet,950.0
Barnet,950.0
Barnet,950.0
Barnet,950.0
Barnet,950.0
Barnet,1000.0
Barnet,1000.0
Barnet,1083.33
Barnet,1095.0
Barnet,1100.0
Barnet,1100.0
Barnet,1100.0
Barnet,1200.0
Barnet,1300.0
Bexley,600.0
Bexley,650.0
Bexley,650.0
Bexley,675.0
Bexley,700.0
Bexley,700.0
Bexley,750.0
Bexley,795.0
Bexley,800.0
Bexley,800.0
Bexley,800.0
Brent,880.0
Brent,541.67
Brent,600.0
Brent,640.0
Brent,650.0
Brent,650.0
Brent,680.0
Brent,680.0
Brent,700.0
Brent,700.0
Brent,750.0
Brent,750.0
Brent,750.0
Brent,750.0
Brent,775.0
Brent,795.0
Brent,800.0
Brent,800.0
Brent,800.0
Brent,850.0
Brent,850.0
Brent,850.0
Brent,850.0
Brent,860.0
Brent,866.67
Brent,866.67
Brent,880.0
Brent,890.0
Brent,888.33
Brent,890.0
Brent,895.0
Brent,900.0
Brent,900.0
Brent,900.0
Brent,900.0
Brent,910.0
Brent,922.0
Brent,931.67
Brent,950.0
Brent,950.0
Brent,950.0
Brent,950.0
Brent,996.67
Brent,1000.0
Brent,1018.33
Brent,1018.33
Brent,1083.33
Brent,1100.0
Brent,1100.0
Brent,1100.0
Brent,1100.0
Brent,1105.0
Brent,1122.33
Brent,1130.0
Brent,1142.0
Brent,1200.0
Brent,1213.33
Brent,1295.0
Brent,1300.0
Brent,1300.0
Brent,1300.0
Brent,1300.0
Brent,1300.0
Brent,1300.0
Brent,1300.0
Brent,1343.33
Brent,1430.0
Brent,1475.0
Brent,1490.67
Brent,1499.0
Brent,1589.0
Brent,1600.0
Brent,1616.0
Brent,1646.67
Brent,1659.67
Brent,1841.67
Brent,1900.0
Brent,2000.0
Brent,2000.0
Brent,2010.0
Brent,2166.67
Bromley,1200.0
Bromley,450.0
Bromley,450.0
Bromley,475.0
Bromley,520.0
Bromley,550.0
Bromley,550.0
Bromley,550.0
Bromley,550.0
Bromley,563.33
Bromley,910.0
Bromley,595.0
Bromley,600.0
Bromley,600.0
Bromley,600.0
Bromley,600.0
Bromley,600.0
Bromley,600.0
Bromley,600.0
Bromley,600.0
Bromley,625.0
Bromley,625.0
Bromley,650.0
Bromley,650.0
Bromley,650.0
Bromley,650.0
Bromley,650.0
Bromley,650.0
Bromley,650.0
Bromley,665.0
Bromley,670.0
Bromley,700.0
Bromley,700.0
Bromley,700.0
Bromley,700.0
Bromley,700.0
Bromley,700.0
Bromley,725.0
Bromley,740.0
Bromley,750.0
Bromley,750.0
Bromley,750.0
Bromley,750.0
Bromley,750.0
Bromley,750.0
Bromley,750.0
Bromley,750.0
Bromley,750.0
Bromley,750.0
Bromley,750.0
Bromley,750.0
Bromley,750.0
Bromley,750.0
Bromley,750.0
Bromley,750.0
Bromley,775.0
Bromley,780.0
Bromley,780.0
Bromley,780.0
Bromley,780.0
Bromley,800.0
Bromley,800.0
Bromley,800.0
Bromley,800.0
Bromley,800.0
Bromley,800.0
Bromley,800.0
Bromley,800.0
Bromley,800.0
Bromley,800.0
Bromley,800.0
Bromley,800.0
Bromley,800.0
Bromley,820.0
Bromley,820.0
Bromley,825.0
Bromley,850.0
Bromley,850.0
Bromley,850.0
Bromley,850.0
Bromley,850.0
Bromley,850.0
Bromley,850.0
Bromley,850.0
Bromley,850.0
Bromley,850.0
Bromley,850.0
Bromley,850.0
Bromley,850.0
Bromley,850.0
Bromley,850.0
Bromley,866.67
Bromley,865.0
Bromley,866.67
Bromley,869.0
Bromley,890.0
Bromley,892.0
Bromley,892.0
Bromley,892.0
Bromley,892.0
Bromley,895.0
Bromley,895.0
Bromley,900.0
Bromley,900.0
Bromley,900.0
Bromley,900.0
Bromley,900.0
Bromley,900.0
Bromley,900.0
Bromley,900.0
Bromley,910.0
Bromley,925.0
Bromley,950.0
Bromley,950.0
Bromley,950.0
Bromley,960.0
Bromley,975.0
Bromley,980.0
Bromley,990.0
Bromley,1000.0
Bromley,1000.0
Bromley,1000.0
Bromley,1000.0
Bromley,1000.0
Bromley,1000.0
Bromley,1018.33
Bromley,1083.33
Bromley,1100.0
Bromley,1100.0
Bromley,1150.0
Bromley,1200.0
Bromley,1200.0
Bromley,1200.0
Bromley,1250.0
Bromley,1250.0
Bromley,1300.0
Bromley,1300.0
Bromley,1386.67
Bromley,1400.0
Bromley,1400.0
Bromley,1800.0
Bromley,3033.33
Camden,1650.0
Camden,169.0
Camden,579.0
Camden,650.0
Camden,650.0
Camden,693.33
Camden,700.0
Camden,737.0
Camden,746.0
Camden,750.0
Camden,2145.0
Camden,750.0
Camden,790.0
Camden,801.67
Camden,825.0
Camden,823.33
Camden,833.0
Camden,845.0
Camden,850.0
Camden,850.0
Camden,850.0
Camden,866.67
Camden,866.67
Camden,871.0
Camden,900.0
Camden,900.0
Camden,900.0
Camden,900.0
Camden,910.0
Camden,929.0
Camden,930.0
Camden,931.67
Camden,940.33
Camden,940.0
Camden,950.0
Camden,950.0
Camden,950.0
Camden,952.0
Camden,953.33
Camden,975.0
Camden,975.0
Camden,990.0
Camden,990.0
Camden,1001.0
Camden,1000.0
Camden,1000.0
Camden,1018.33
Camden,1050.0
Camden,1048.67
Camden,1048.67
Camden,1050.0
Camden,1083.33
Camden,1100.0
Camden,1100.0
Camden,1100.0
Camden,1100.0
Camden,1100.0
